"brand_name","generic_name","years_with_data","mean_beneficiaries","latest_beneficiaries","mean_dosage_unit","latest_dosage_unit"
"Dantrium","Dantrolene Sodium",12,70.4,NA,45421.5,9214
"Demerol","Meperidine HCl/PF",12,2037.6,35,40422.8,9206
"Gattex","Teduglutide",11,647.1,914,5295,9198
"Lorzone","Chlorzoxazone",12,1007.4,26,194637.7,9173
"Finzala","Norethindrone-E.Estradiol-Iron",2,36,49,5432,9128
"Ala-Scalp","Hydrocortisone",9,137.6,141,5182.1,9088
"Tazicef*","Ceftazidime",10,734.2,225,109780.7,9066.334
"Sotylize","Sotalol HCl",9,12.8,NA,19046.7,8980
"Tovet Emollient","Clobetasol Propionate/Emoll",4,47.5,53,7187.5,8900
"Recarbrio","Imipenem/Cilastatin/Relebactam",4,29.3,32,28945.3,8888
"Femring","Estradiol Acetate",9,3026.8,2894,8585.8,8877
"Miconazole 3","Miconazole Nitrate",12,1626,2096,6613.8,8863
"Caretouch Pen Needle","Pen Needle, Diabetic",7,42.7,46,9979.7,8850
"Bortezomib*","Bortezomib",6,204.2,559,2983.8,8845.786
"Zetonna","Ciclesonide",10,1481.4,225,31699.5,8826.7
"Cefuroxime Sodium*","Cefuroxime Sodium",10,76.8,47,23812.4,8784.333
"Lyumjev Tempo Pen U-100","Insulin Lispro-Aabc",1,239,239,8763,8763
"Tenoretic 50","Atenolol/Chlorthalidone",11,127,28,24520.7,8734
"Fml","Fluorometholone",12,1381.5,901,13647.9,8697
"Cinqair","Reslizumab",8,39.4,29,7526.4,8670
"Asacol Hd","Mesalamine",11,13686.8,12,7505569.4,8662
"Hydromet","Hydrocodone Bit/Homatrop Me-Br",12,1634.7,55,421417.9,8623
"Vanishpoint","Syringe And Needle,Insulin,1ml",12,306.2,47,119288.2,8579
"Proair Digihaler","Albuterol Sulfate",4,2340,5432,3586.9,8578.975
"Taltz Autoinjector (2 Pack)","Ixekizumab",8,1390.2,2151,5565.1,8557
"Mannitol","Mannitol",12,48.2,35,12087.9,8500
"Mesnex*","Mesna",10,262.8,284,7565.6,8479
"Renflexis","Infliximab-Abda",6,214.6,305,4746.7,8462.8
"Exelderm","Sulconazole Nitrate",8,826.6,130,55144.5,8430
"Infliximab","Infliximab",2,233,295,5697.5,8385.95
"Aurovela","Norethindrone Ac-Eth Estradiol",5,185,79,24914.8,8365
"Ragwitek","Weed Pollen-Short Ragweed",6,69.2,58,6661.2,8310
"Aldactazide","Spironolact/Hydrochlorothiazid",12,538.1,78,108199.8,8299
"Onzetra Xsail","Sumatriptan Succinate",6,299.5,117,12928.2,8244
"Salicylic Acid","Salicylic Acid",12,767.3,150,167765.8,8230
"Dermacea","Gauze Bandage",4,19.8,22,6435.5,8200
"Anusol-HC","Hydrocortisone",12,777.6,133,35058.7,8180.7
"Cerezyme","Imiglucerase",12,36,38,10184,8122
"Pimtrea","Desog-E.Estradiol/E.Estradiol",10,162.3,46,30477.9,8120
"Treximet","Sumatriptan Succ/Naproxen Sod",10,1105.7,109,61191.1,8113
"Cuprimine","Penicillamine",12,282.8,NA,134943.8,8106
"Reclast","Zoledronic Acid/Mannitol-Water",12,701.2,82,70512.8,8101
"Caprelsa","Vandetanib",9,106.3,32,23510.3,8075
"Azasan","Azathioprine",12,482,44,109987.3,8060
"Bd Insulin Syringe Ultra-Fine","Syring-Needl,Disp,Insul,0.3 Ml",12,82.3,40,14286.8,8030
"Vibativ","Telavancin HCl",4,55.9,47,8981.8,7992.632
"Cinvanti","Aprepitant",6,46.7,54,5672,7992
"Apretude","Cabotegravir",2,475.5,708,5027,7984
"Lithium Citrate","Lithium Citrate",1,19,19,7980,7980
"Tepezza","Teprotumumab-Trbw",4,298.8,455,6203.8,7962.24
"Amphotericin B Liposome","Amphotericin B Liposome",2,95,142,9977.5,7897
"Doryx Mpc","Doxycycline Hyclate",7,65.7,101,5075.1,7859
"Eluryng","Etonogestrel/Ethinyl Estradiol",5,844.8,1245,4811,7852
"Emverm","Mebendazole",7,1103.5,1226,6068.3,7821
"Pemetrexed Disodium","Pemetrexed Disodium",2,275.5,347,5587.5,7814
"Afinitor Disperz","Everolimus",10,33.5,19,8632.2,7788
"Berinert","C1 Esterase Inhibitor",12,78.7,55,11700.5,7783
"Macrodantin","Nitrofurantoin Macrocrystal",12,428.3,42,57148.2,7714
"Jasmiel","Ethinyl Estradiol/Drospirenone",5,37.5,46,5089.2,7700
"Tamiflu","Oseltamivir Phosphate",12,194441.1,605,2229075.1,7599
"Bd Insulin Syringe","Syringe And Needle,Insulin,1ml",10,19.8,29,3683.1,7578
"Exservan","Riluzole",3,25.3,38,4460,7560
"Zembrace Symtouch","Sumatriptan Succinate",8,396.6,363,6819.9,7524.5
"Renagel","Sevelamer HCl",12,8783.5,33,6688195.7,7499
"Abilify Asimtufii","Aripiprazole",1,1231,1231,7414.2,7414.2
"Gefitinib","Gefitinib",1,74,74,7331,7331
"Vitamin B-1","Thiamine HCl",2,29,43,5572,7299
"Amjevita(Cf)","Adalimumab-Atto",1,600,600,7170.4,7170.4
"Zavesca","Miglustat",12,16,NA,9527.5,7114
"Unifine Pentips Plus Maxflow","Pen Needle, Diabetic",2,38,38,6430,7100
"Bactrim Ds","Sulfamethoxazole/Trimethoprim",12,293.6,150,12742.1,7083
