"brand_name","generic_name","years_with_data","mean_beneficiaries","latest_beneficiaries","mean_dosage_unit","latest_dosage_unit"
"Promethazine HCl*","Promethazine HCl",10,588951,523738,95083618.1,101765339.99
"Linzess","Linaclotide",12,312626.5,565088,51318079.2,100595813.5
"Sulfasalazine","Sulfasalazine",12,95225.4,112219,76055545.7,99059165.646
"Megestrol Acetate","Megestrol Acetate",12,214017.1,168919,140228934.6,98702174.807
"Gemfibrozil","Gemfibrozil",12,324212.8,199172,141490380.3,96918270.602
"Azelastine HCl*","Azelastine HCl",10,776343.2,1194948,58854793.5,96229133
"Digoxin*","Digoxin",10,476602.4,392747,107647963.5,95698945.576
"Calcium Acetate","Calcium Acetate",12,137502.1,108459,125104185.8,95151608.464
"Sulfamethoxazole-Trimethoprim*","Sulfamethoxazole/Trimethoprim",10,3139905.2,3086523,102721505.7,95109456.35
"Nitroglycerin*","Nitroglycerin",10,991321.8,1348161,65110308.2,92798969.336
"Brilinta","Ticagrelor",12,148993.3,234770,55412586.6,90507614
"Cholestyramine","Cholestyramine (With Sugar)",12,167634.9,186287,88661325.6,90304805.578
"Verapamil ER","Verapamil HCl",12,334081.7,258464,101458239.5,90113090.184
"Mesalamine*","Mesalamine",10,57583.5,95185,59566458.3,88673542.646
"Dextroamphetamine-Amphetamine","Dextroamphetamine/Amphetamine",12,166762.7,223418,70657222.3,88527134.5
"Alendronate Sodium","Alendronate Sodium",12,1802643.4,2218723,57799891.2,87832694.73
"Droplet Pen Needle","Pen Needle, Diabetic",8,75637.1,181598,34842751.3,87317624
"Telmisartan","Telmisartan",10,170516,289777,45998709.9,87093418
"Cilostazol","Cilostazol",12,194380.5,199211,79476400.8,86853848
"Mycophenolate Mofetil","Mycophenolate Mofetil",12,69713.8,105503,57401394.3,86690404.459
"Lansoprazole","Lansoprazole",12,329872.6,303222,77990005.3,84564153.028
"Janumet","Sitagliptin Phos/Metformin HCl",12,195518.8,168527,92001728.4,84530665.889
"Mupirocin","Mupirocin",12,1702398.5,2467308,64637284.4,83327745.891
"Diltiazem HCl*","Diltiazem HCl",10,217136.8,197018,89629333,81838785.745
"Temazepam","Temazepam",12,534586.5,394771,92234567.2,80559678.7
"Doxepin HCl*","Doxepin HCl",10,236653.7,276316,63665360.5,79721409.477
"Carbidopa-Levodopa ER","Carbidopa/Levodopa",12,104200.3,119402,67705741.8,78589937.426
"Klor-Con M20","Potassium Chloride",11,453107.9,274807,114414825.9,78026616.667
"Bisoprolol Fumarate","Bisoprolol Fumarate",12,179056.4,262683,48410044.1,76646730.24
"Potassium Citrate ER","Potassium Citrate",12,98117.6,131779,55348085.5,75429360.119
"Prazosin HCl","Prazosin HCl",12,134861.3,206010,49160218.3,74734401.632
"Propranolol HCl ER","Propranolol HCl",12,190872.8,243981,55671138.7,73699601.989
"Ultra-Fine Nano Pen Needle","Pen Needle, Diabetic",10,370745.3,212572,146858372.3,73487832.546
"Testosterone","Testosterone",10,64737.9,116916,38665539.6,73109435.5
"Pradaxa","Dabigatran Etexilate Mesylate",12,208717.2,144821,102267364,72682464
"Tradjenta","Linagliptin",12,250324.3,286808,58219625,71687221.889
"Dexamethasone","Dexamethasone",12,551184.7,850184,50902363.2,71368840.684
"Metronidazole*","Metronidazole",10,1489273.4,1528785,64936451.1,70707432.559
"Ciprofloxacin HCl*","Ciprofloxacin HCl",10,4122655.2,3519833,85250709.3,70259521.645
"Lidocaine HCl Viscous","Lidocaine HCl",12,204554.7,244199,62488295.3,70132161.22
